,id,content,label
0,0,气死姐姐了，快二是阵亡了吗，尼玛，一个半小时过去了也没上车,1
1,1,妞妞啊，今天又承办了一个发文登记文号是126~嘻~么么哒~晚安哟,0
2,2,这里还值得注意另一个事实，就是张鞠存原有一个东溪草堂为其读书处。,2
3,3,这在前华约国家(尤其是东德)使用R-73的首次联合演习期间，被一些北约组织的飞行员所证实。,2
4,4,TinyThief上wii了？！,4
6,6,语文军，数学军，英语军，物理军，政治军，历史军，生物军，地理军，八科联军，侵犯我班，我班战败，被迫签订家长会条约，赔偿给老师总结1000字，学校为使馆界，派各科老师看守，不准我班随意出去，割美术课，体育课，音乐课，活动课给班主任，开放监控设备，下课时间由联军商定！同学们该起义,1
7,7,我不是一个优秀的演员……不能微笑着旁观你们幸福。,3
9,9,累了一天！会宿舍听下我搞基新歌！在看看我段宜恩美图！心都被治愈了,0
10,10,劳资也能遇到这种人。滚你妈逼的。狗都不如。艹,1
12,12,前几天爸爸带回来的大鱼，10斤。,0
13,13,可怕的噩梦…不知道我描述的清不…在做梦　梦里的我也在睡梦中…做梦的我梦里还是在做梦…起先我第一次醒来以为自己醒了但其实是在另一个梦里…于是我开始怕了　我用尽全力挣扎　让自己从一个又一个噩梦里醒来　发觉一直没有尽头　因为它们都有一个共同特点　那就都是黑夜　而我知道真正醒来该是白天…,5
14,14,跟一群维族在一起喝酒，醉的一塌糊涂。。,2
16,16,昨晚又梦见你，骑着电瓶车载你。很甜。吃中饭偶遇你。不知道该不该挽回，不挽回会不会后悔。以后一起去食堂吃饭好不好。,3
18,18,那些爱造谣的长舌妇们，我结婚生娃你怎么知道的，我都不知道,1
20,20,韩国漫画，妻子的记忆，结尾让人流泪。,3
21,21,太忙的一天体育课选了个跆拳道韧带拉的宝宝快炸了英语听说老师全程英语快递一下来五个宝宝快累死,1
23,23,儿子生意不景气，工作不顺心受气，刚刚听他说这些的时候真的挺上火的，尤其是工作上受气，等我以后有能力了我要让那些让他受气的人吃不了兜着走,1
26,26,忍一忍忍一忍忍一忍此时此刻我的内心是崩溃的,1
31,31,清晨醒来，发现外面下着雨感觉好有诗意,0
34,34,願2015餘下的日子里，美好能夠多一些，快樂能夠如影隨形…Goodmorning!,0
35,35,20世纪90年代以来，一些发达国家和地区的服务贸易已超过一般商品贸易。,2
36,36,我自己好不容易到了一盒本来想自己留着吃结果还是必须发给你们，我容易吗,3
37,37,很多失败不是因为能力有限，而是因为没有坚持到底。,0
39,39,总有一天，你会遇到一个绚丽的人，让你觉得其他人都是浮云。,0
40,40,详情学校成立于2009年，是市政府十大民生工程之一。,2
42,42,我老爹23岁还长个了，然而姜胜允17岁进yg后就没怎么长个,3
43,43,走着走着，终于明白……走着走着，我醒了，不再对所有人好，谁对我好我就对谁好。走着走着，我知道了，日久不一定生情，但一定能够见人心。走着走着，我明白了，没有谁会像父母一样一直包容并原谅你。走着走着，我害怕了，因为年龄越大、离开我的亲人就越多。生命无常。走着走着，我畏惧了...全文,5
44,44,睡一宿觉醒来一看，莫名其妙的嘴肿了,1
45,45,没有机会做大事的人，是因为没有通过做好小事来证明自己的实力。放在越不起眼的地方，越要主动发光。在别人不敢委以重任之前，把小事做到极致，来证明你的实力。——可惜大多数人永远都想不明白这个道理，怨天尤人者居多，有的似乎明白了，又不去实践，所谓蹉跎岁月，想必就是如此。,0
47,47,今天这工作效率，晚上又要熬夜了。。。,3
48,48,乌鲁木齐铁路局地处西北边陲的多民族地区。,2
51,51,以前他为了让我做他女朋友，他什么手段都会用，不让别人靠近我，现在，别人想靠近了，他却无所谓。他的心里到底是怎么想的，你的话实在让我太心寒了你知不知道,1
52,52,心情超不爽的～不知道谁装不记得还是真不记得了～,1
53,53,想骂火箭打得跟翔一样，算了还是不侮辱翔了…,1
56,56,果实性状：总苞中型，刺束中密较硬。,2
57,57,一晚上不晓得被蚊子咬了多少次，手上，脚上，脸上，都有它留下的痕迹,1
58,58,瑞昌市立即成立联合调查组，初步调查认为高奉青行为涉嫌诈骗，其外逃原因或为躲避债务。,2
59,59,在这风中凌乱了一下午，临睡时却思绪万千，海拔四千多都上去了，怎么就过不去心里那道坎呢这次你还是不在,3
60,60,那些苦难的日子，是谁陪着你？对不起,3
61,61,靠他大爷，干啥都不能干的丽丽亮亮的。,1
62,62,啊哈，第一次发面蒸包子～居然成功了～,0
63,63,为什么总是这样，天天加班！！！从早上六点到现在，烦人！,1
64,64,求解醋吃多了会腐蚀胃吗胃好难受好难受,3
65,65,一座让我既向往又害怕，既激动又畏惧的城市。不主动向前走就是被动挨宰|天津·天津...,3
67,67,找一個人，打打鬧鬧、不正不經過一生…好像也挺有趣的…各位覺得呢??,0
69,69,总人口4300人.2006年村民人均收入4500元。,2
70,70,选择、犹豫、决定、徘徊和不安定的心合在一起组成的生活。无数次坚定又无数次变化。什么时候才能真真切切知道自己想要啥呢呢呢也许对过一次之后又也许错过一万次之后还是回头好好刷题吧,3
71,71,捡了一点红叶，次日变的不那么艳丽啦！南方城市中仿佛少了秋季，看到这红叶我很开心。正好家里还剩几个橘子合个影吧,0
72,72,张嘉佳，你是啰嗦鬼，可还是喜欢你...,0
73,73,我们农民工讨薪真难啊！我们在中铁等了四天了啊,1
74,74,培养学生用心把事情做好，促使学生形成“勤奋、文明、健康、进取的良好学风，培养学生成为有修养的小公民。,0
75,75,但同时新桂系还通过贩卖鸦片来增加收入。,2
76,76,有时候觉得自己坚强到无所不能，然而夜深人静的时候所有软肋才会突显出来，似乎读懂了那一句，陪伴是最长情的告白。其实都明白，战战兢兢的原因只是因为，我们没有把握的未来。延安·宝塔区,3
77,77,这的确是个好消息赶紧告诉我的好朋友去,0
79,79,上个班不容易啊，一天检查，检查，检查。对你们就那么重要。非要把你们所谓工作好的换到一起来迎检，我的工作就那么让你肯定吗？真闹心的工作。这万一哪个环节出问题。就变成罪人了。压力山大啊真的累啊。身体累就算了心更累。还让人活不活。这样下去真TMD要被整疯。,1
80,80,天猫盒子自说自话把我下的直播APP和VST还有沙发管家这些全删了强盗啊麻痹盒子还能强制删除的一刚哈尼心,1
82,82,大早晨起来开批斗大会也是够了，让我整天都不好了……,1
83,83,还什么韩国最新Ap，还最稳定完全不给力,1
84,84,不知道在别人眼里的我如何总之我是能被吓哭的人嘻嘻,0
85,85,【这个纸飞机，真的不一般】相信很多人小时候都玩过纸飞机，不过呢，这个纸飞机真的太逆天了,0
86,86,我果然是乖巧贤惠懂事的好姑娘给爷爷奶奶织围巾的我简直可爱极了,0
87,87,据说今天是感恩节，感恩自己，抓紧时间起床喽，愿能享受一顿美美的早餐，早安,0
89,89,就是睡不着，看到不该看的！哎，这让姐儿肿么安眠。。。{恶心呕吐发毛讨厌---蝙蝠},1
90,90,抵制诱惑，认真养成好习惯#早睡打卡#,0
91,91,函数接受的参数除了快慢等，还可以接收整型，作为渐入或淡出的完成时间，单位为ms。,2
92,92,两年前的跑步机上，现在感觉长时间跑步我的半月板受挫,2
93,93,曾经相隔一间隙，如今仿佛两世界。情商低一定不是答案，过分敏感以至于将自己包裹起来，恩，大抵是这样。改变即刻开始，每一次从空到满，再倒空，这都应是成长的过程。,0
94,94,至少努力努力过了😔😔😔😔😔还是那样的不如意,1
95,95,下午去办新号，被客户经理放了鸽子，楼下等了十五分钟连个影子都没见，打电话不接也不回，气呼呼的回到办公室，因为完全无法理解。——一个小时后，客户经理打来电话，听完原因，还是一肚子火，但是想到人家也不是故意的，竟然也发不出来脾气，只能喝杯甜的安慰一下自己,1
96,96,真是火大做了一遍乱码白做重做又乱码破系统能不能不闹,1
97,97,每次安检都被摸个遍你看你是女的我就没脾气是吧,1
100,100,像你那样不理世俗活着挺好，我向你学习，得高冷。,0
101,101,我的主号莫名其妙被锁定了，强制要我绑定手机号，我没有手机号可用了，不要就不要了，微博药丸。,1
102,102,天天這呼嚕聲我也是醉了我要睡覺！！！！！！！！！！氣了想給我桌子從床上扔下去！！！！！！！,1
104,104,重庆市火车站南广场对残疾人服务态度太差了！,1
105,105,最荒唐的事情就是发现考试是在星期六而不是星期一啊,4
106,106,还真是人一倒霉，喝凉水都塞牙。车[小汽车]电瓶坏了，打不着火也就算了，打个出租车[出租车]让他来接我，结果自己撞杆儿上了，水箱还给撞漏了…然后我还淋了雨。。。这一路战战兢兢的，我也是醉了…[流汗][流汗][流汗]不过最担心的还是那司机，毕竟这大半夜的还下着雨上哪儿修车啊。。。#晚安，自己##晚安心语...全文,3
107,107,1930年任广西大学军训部主任，次年任广西军警督察署参谋长。,2
108,108,是不是我一直都不会出现在你的朋友圈里,3
109,109,就不能给点安静的空间，做人就不能知足么，整天比来比去的有意思么……靠，烦躁！不爽掐死得了,1
111,111,断奶之后睡觉可真香，但是居然一个星期吃了一罐奶粉,4
112,112,旧历啧啧啧愿望就是吃好睡饱身边人好,0
113,113,请北京机场的保安008276出来道歉，你们保安这么没素质吗，请道歉,1
114,114,结业于中国书法家协会书法培训中心书法研修班。,2
115,115,已养成随手截图的好习惯，胖杉的鱼塘#赵丽颖#,2
116,116,看喜剧总是能让人一身轻松、忘掉烦恼,0
117,117,在学校的日子里是初中生最难熬的生活,3
118,118,如此心塞的一晚…每天瞎折腾，也不知道折腾点啥最近做的东西也不少，却没一点成就感,3
119,119,"有些人、才遇见了那么一下子：就好像认识了很久似的。什么事都想和他说。Somepeople,Imetsosuddenly,asiftoknowalongtimelike,whatdowantandhesaid.",2
120,120,只有最后一个比较吓人。最后一个好凶恶，吓死了,5
121,121,小时候，家里穷，希望能有一件自己的玩具，现在也是。,3
122,122,又干了一件蠢事儿，没确定问清楚货，就跑过去验货，结果人家货还在工厂，我去，被自己蠢哭了,3
123,123,1.独特的课程架构：贯穿此课程的90%是通过肢体动作来演绎，而只有10%通过文字来解说，是目前在培训界文字较少的课程之一。,2
124,124,新火车站、新胜利大街将几百亿元资金埋在地下，新火车站与新胜利南街的规划建设注定这里区域价值必定呈飞速上升趋势，区域发展潜力不言而喻。,2
125,125,80年代初，一系列话剧如《车站》、《野人》、《WM》、《一个死者对生者的访问》等的出现，形成了探索剧的潮流。,2
126,126,#微博摄影大赛#宝贝儿们棒棒哒，爱你们❤️,0
127,127,坐在我旁边的两只耗子一直不停的制造噪音，我冷冷的盯着这两只死耗子，你不让我好好看书，我也不让你好好看书。,1
128,128,老公MV出来了为什么要和别人亲嘴,1
130,130,所以不是沉鱼落雁闭月羞花。你怎么还不来。,3
132,132,我说了那么多，这次我少说点。晚安。,2
133,133,得罪几个人，做糟糕几件事，其实没那么可怕。一辈子活得委曲求全，战战兢兢，才最可怕。石家庄·新百广场（商...,2
134,134,可怕的噩梦。令人震惊。出门在外。安全最重要。阿门！！！,4
135,135,可怕[骷髅]只想知道整容后还能活多久[惊恐],5
