,id,content,label
2,2,这里还值得注意另一个事实，就是张鞠存原有一个东溪草堂为其读书处。,2
3,3,这在前华约国家(尤其是东德)使用R-73的首次联合演习期间，被一些北约组织的飞行员所证实。,2
4,4,TinyThief上wii了？！,4
5,5,每天都以紧张的心情工作，真的是太累，太不放松了，想要爆发一下,1
6,6,语文军，数学军，英语军，物理军，政治军，历史军，生物军，地理军，八科联军，侵犯我班，我班战败，被迫签订家长会条约，赔偿给老师总结1000字，学校为使馆界，派各科老师看守，不准我班随意出去，割美术课，体育课，音乐课，活动课给班主任，开放监控设备，下课时间由联军商定！同学们该起义,1
7,7,我不是一个优秀的演员……不能微笑着旁观你们幸福。,3
8,8,当你变优秀时，你想要的都会来找你,0
9,9,累了一天！会宿舍听下我搞基新歌！在看看我段宜恩美图！心都被治愈了,0
11,11,四年，又是四年！中国球迷，有几个四年可以任你挥霍！我去年买了个表！,1
13,13,可怕的噩梦…不知道我描述的清不…在做梦　梦里的我也在睡梦中…做梦的我梦里还是在做梦…起先我第一次醒来以为自己醒了但其实是在另一个梦里…于是我开始怕了　我用尽全力挣扎　让自己从一个又一个噩梦里醒来　发觉一直没有尽头　因为它们都有一个共同特点　那就都是黑夜　而我知道真正醒来该是白天…,5
14,14,跟一群维族在一起喝酒，醉的一塌糊涂。。,2
15,15,"尼玛币啊！我暴躁了！这个事情,之前看过一个新闻,是一个孕妇,也是差不多的原因,因为想让她男人得到满足,祸害其他小姑娘！最后给那女生弄死了！真妈的不是好人！不怕遭天谴吗？！",1
16,16,昨晚又梦见你，骑着电瓶车载你。很甜。吃中饭偶遇你。不知道该不该挽回，不挽回会不会后悔。以后一起去食堂吃饭好不好。,3
17,17,事实……我也害怕也有恐惧担心……因为见过太多婚姻中的家庭那种委屈看着都怕了,5
18,18,那些爱造谣的长舌妇们，我结婚生娃你怎么知道的，我都不知道,1
19,19,外日看日剧一不小心看到这个点了legalhigh真的好好看啊三观好正啊本来从小就向往律师这个职业的我真的好喜欢这个剧啊而且女主角是gakki啊啊啊啊萌哭我好想在她犯傻的时候摸摸她的头,0
20,20,韩国漫画，妻子的记忆，结尾让人流泪。,3
21,21,太忙的一天体育课选了个跆拳道韧带拉的宝宝快炸了英语听说老师全程英语快递一下来五个宝宝快累死,1
22,22,能帮助麦当娜把她心中的电影拍摄出来，其实也是件很好的事情。,0
24,24,两张图片。呵呵，猜到了。宁愿不这么聪明。是我自己自讨苦吃。蒙蔽了双眼。果然啊。呵呵，呵呵，还跟个傻逼似得相信别人。真相来的太早。,3
25,25,为什么既不来找我，也不和我分手,1
27,27,总会有不想追逐的时候，总会有不被理解的时候，总会有委屈辛酸的时候。,3
28,28,3.分泌物较多且创面较深时，宜用生理盐水冲洗，如坏死组织较多，可用攸锁或其他消毒溶液冲洗。,2
29,29,"  .co域名..co是国家顶级域名（ccTLD），国际通用，是英文""Corporation、Company""（商业公司）的缩写，含义明确、简单易记，方便公众理解。",2
30,30,继杨爱瑾与傅颖之后，现Cookies四位成员均已离开金牌大风。,2
31,31,清晨醒来，发现外面下着雨感觉好有诗意,0
32,32,我用4G网看了两集《北上广不相信眼泪》才发现没开无线网，气死宝宝了,1
33,33,我好像没有原来帅了可才过了8个月啊！！🍺,3
34,34,願2015餘下的日子里，美好能夠多一些，快樂能夠如影隨形…Goodmorning!,0
35,35,20世纪90年代以来，一些发达国家和地区的服务贸易已超过一般商品贸易。,2
36,36,我自己好不容易到了一盒本来想自己留着吃结果还是必须发给你们，我容易吗,3
38,38,算了一算，鲜艳，摸哥，曾老她们现在又在教高三了好快啊！,0
40,40,详情学校成立于2009年，是市政府十大民生工程之一。,2
41,41,公司年会礼品十分土豪，全是进口高科技电子产品，还有1-2万现金奖，我全程都是这个,0
42,42,我老爹23岁还长个了，然而姜胜允17岁进yg后就没怎么长个,3
43,43,走着走着，终于明白……走着走着，我醒了，不再对所有人好，谁对我好我就对谁好。走着走着，我知道了，日久不一定生情，但一定能够见人心。走着走着，我明白了，没有谁会像父母一样一直包容并原谅你。走着走着，我害怕了，因为年龄越大、离开我的亲人就越多。生命无常。走着走着，我畏惧了...全文,5
46,46,哇塞买了回国机票！！！02.9-02.23,0
49,49,难道卷刘海这种事就只能靠运气了吗,4
50,50,一回来就遭宰，前三盘就遭了5个五翻了，今年不打牌了妈的,1
52,52,心情超不爽的～不知道谁装不记得还是真不记得了～,1
53,53,想骂火箭打得跟翔一样，算了还是不侮辱翔了…,1
54,54,：彼此互相推委，皆弃之不收，反遗之以与金人用。,2
55,55,突然觉得世界好大，可是却没有我的容身之地。,3
56,56,果实性状：总苞中型，刺束中密较硬。,2
58,58,瑞昌市立即成立联合调查组，初步调查认为高奉青行为涉嫌诈骗，其外逃原因或为躲避债务。,2
59,59,在这风中凌乱了一下午，临睡时却思绪万千，海拔四千多都上去了，怎么就过不去心里那道坎呢这次你还是不在,3
60,60,那些苦难的日子，是谁陪着你？对不起,3
61,61,靠他大爷，干啥都不能干的丽丽亮亮的。,1
65,65,一座让我既向往又害怕，既激动又畏惧的城市。不主动向前走就是被动挨宰|天津·天津...,3
66,66,#春娇与志明#感觉…张志明好像…是个渣男🌚,1
67,67,找一個人，打打鬧鬧、不正不經過一生…好像也挺有趣的…各位覺得呢??,0
68,68,非常清楚无论在哪里都没有公平而言，但是在我看来就是非常严肃的事儿，但是一直都是一个非常骄傲的人，凭什么接受这样的结果，别把别人当傻子，只想孕妇赶紧给我报销，土都吃不起了！！,1
